Overstimulation, freeform, 43126
Finger Sucking, freeform, 11425
Cuckolding, freeform, 6614
Gay Sex, freeform, 37377
Prose Poem, freeform, 3125
Open Relationships, freeform, 6139
Gay Male Character, freeform, 33133
Everyone Is Gay, freeform, 21281
Blindness, freeform, 12300
Blood and Gore, freeform, 49074
Brainwashing, freeform, 11223
Stockholm Syndrome, freeform, 12246
Attempted Murder, freeform, 12165
Sadism, freeform, 15111
Feminization, freeform, 11391
Forced Feminization, freeform, 2775
Daddy Kink, freeform, 48595
Urination, freeform, 29014
Loss of Virginity, freeform, 35977
Beating, freeform, 3655
Clara Oswin Oswald, character, 7335
Amy Pond, character, 6303
Rory Williams, character, 4968
